id_sentimen,id_tokoh,id_wilayah,platform,raw_text,sentiment_label,keyword_category,url_postingan,created_at,tanggal_mentah,tipe_kemarahan,target_serangan,wilayah
548,1,,TikTok,"aturan kan bisa dirubah, buatan manusia, wong yg bikin yg punya hidup aja kalian langgar",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Pekalongan/Pantura (G)
754,1,,TikTok,aku ORA milih Melu keno dampake motorku ORA tak pajeki. sok nek wis duit lebih lagi. di pajaki golek duit lagi susah,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
1902,1,,TikTok,Mundur saja Pak..bikin rakyat susah..tambah beban pajak.. Ngerti ngono nggak Mau milih ..,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
2925,2,,TikTok,"gus taj yasin dulu wakilnya pak Ganjar mundur, eee sekarang wakilnya pak Lutfi dengan gonjang ganjingnya Jawa tengah enjoy enjoy ajaa,,,",Negatif,,,2026-02-25 19:46:39.483484+00:00,19 j yang lalu,Kekecewaan Politik,Wakil Gubernur,Lainnya/Jateng
1334,1,,TikTok,siapa pilih orang ini,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1848,1,,TikTok,psti pda nyesel salah pilih gubernur,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1559,1,,TikTok,😁😅 ngayomi dan ngopeni hanyalah janji tok kenyataan masyarakat di peras kaya sapi perah,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1652,1,,TikTok,"berdasarkan peraturan dan undang2 yg bikin muak, aturan yg bikin gengnya mereka sedangkan masyarakat tidak dilibatkan",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Lainnya/Jateng
3909,3,,Instagram,"Jare janji kampanye mau bikin rakyat tersenyum, nyatane? Ingat jabatan ga selamanya",Negatif,,,2026-02-25 19:46:39.483484+00:00,"Jare janji kampanye mau bikin rakyat tersenyum, nyatane? Ingat jabatan ga selamanya",Kekecewaan Politik,Gubernur,Pekalongan/Pantura (G)
1611,1,,TikTok,aturan itu gak buat manusia pakk,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Pekalongan/Pantura (G)
1713,1,,TikTok,"gara gara gerinda salah pilih, harusnya sudaryono😅",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1676,1,,TikTok,aturan tololll,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Lainnya/Jateng
1678,1,,TikTok,Kantongnya pejabat tambah tebal,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Lainnya/Jateng
2280,1,,TikTok,wes aturan kono aku mumet,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Lainnya/Jateng
2325,1,,TikTok,aturanmu dewe,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Lainnya/Jateng
2347,1,,TikTok,aturane wereng coklat membagongkan,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Lainnya/Jateng
1890,1,,TikTok,"pejabat bisanya cuma itu , gak ada pejabat yg punya inovasi/ karya yg bsa hasilkan uang utk wilayah masing2......krenyeh",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
2258,1,,TikTok,naikan terus biar pejabat bisa lebih kaya,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
3840,3,,Instagram,"Anda sdg berbisnis dgn masyarakat🔥kondisi masyarakat sdg terpuruk bhkn bisnis dan usaha lesu tp anda mlah mngambil kebijakan spt itu, salah cara berpikir anda tot. Di ruang tertentu para pejabat bergaya hedon merem akan kondisi masyarakatnya.",Negatif,,,2026-02-25 19:46:39.483484+00:00,"Anda sdg berbisnis dgn masyarakat🔥kondisi masyarakat sdg terpuruk bhkn bisnis dan usaha lesu tp anda mlah mngambil kebijakan spt itu, salah cara berpikir anda tot. Di ruang tertentu para pejabat bergaya hedon merem akan kondisi masyarakatnya.",Beban Ekonomi,Pemerintahan,Lainnya/Jateng
262,1,,TikTok,"pejabat slalu punya dasar, tapi ga pernah mengerti ekonomi rakyatnya",Negatif,,,2026-02-25 19:46:39.483484+00:00,4 h yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
1417,1,,TikTok,"Mengatasnamakan perhub . .dan peraturan mereka yg buat .
Masyarakat dipikirnya bego dan mau ikuti aturan yg mencekik dan menyengsarakan . .hmm .",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
